source_page,year,pdf_url,local_path,bytes,sha256
Special,2021,https://www.commercialpointohio.gov/CPMiscForms/CCR%202021.pdf,Special/2021/CCR_202021.pdf,351246,941129273e35ee4769540a50238ed23f5f38f434b1a7156f8e52c3e8f7ed4b00
Special,2022,https://www.commercialpointohio.gov/CPMiscForms/2022-CCR.pdf,Special/2022/2022-CCR.pdf,229924,b1c771ef73f52b675fdd814bc6825f1d030f14ae6a87b2c68664dc905865073d
Special,2023,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/2023-Water-Quality-Report.pdf,Special/2023/2023-Water-Quality-Report.pdf,1857528,378e9993f9746a3b870edacadad782c2f01da4f2ed839789ca4e56b7b90ac353
Special,2024,http://www.commercialpointohio.gov/wp-content/uploads/2025/06/CCR-2024.pdf,Special/2024/CCR-2024.pdf,249642,99cf9f5c6df278c9505df8b8f3a330dcfa8c26ea1f64d26b85e114271e2f2367
Special,2024,https://www.commercialpointohio.gov/CPMeetings/Special/2024/Special%20Meeting-1-22-2024.pdf,Special/2024/Special_20Meeting-1-22-2024.pdf,390588,74f677bac9c50f045b193213c26cd3944ad487631d0ae4b42498c7c733f62067
Special,2024,https://www.commercialpointohio.gov/CPMeetings/Special/2024/2-26-24-Special-Council.pdf,Special/2024/2-26-24-Special-Council.pdf,483138,a19626103005da75d104608499ff6e5491da3e89beb5deb5dd87c21097958f2e
Special,2024,https://www.commercialpointohio.gov/CPMeetings/Special/2024/3-18-24-Special.pdf,Special/2024/3-18-24-Special.pdf,619927,b6e7bb2334a029f3bc31ddc05459dae7b30b200f4ebf4fc6bfb95bac67b80fa2
Special,2024,https://www.commercialpointohio.gov/CPMeetings/Special/2024/4-15-24-Special-Meeting-Min.pdf,Special/2024/4-15-24-Special-Meeting-Min.pdf,810698,23cf3ac4326f47922355ee81c74ad57739fbd1f8a8d053f648dd85cfa93f39e8
Special,2024,https://www.commercialpointohio.gov/CPMeetings/Special/2024/5-20-Special-Council.pdf,Special/2024/5-20-Special-Council.pdf,445416,da7dc179edd66f38dae9fcd98f1b7ceb7795c317e48f02a2632967a7660a9ab0
Special,2023,https://www.commercialpointohio.gov/CPMeetings/Special/2023/2-27.pdf,Special/2023/2-27.pdf,35207,042ed7cfedadb3e293f03441b95505fcb3076881ddf354b1953d3248a2c88359
Special,2023,https://www.commercialpointohio.gov/CPMeetings/Special/2023/4-11-23-council-min.pdf,Special/2023/4-11-23-council-min.pdf,3313931,d6babd8a6b18271e0a2422cc2375772a5b5da30f46735e372dfec28b9a8cea03
Special,2023,https://www.commercialpointohio.gov/CPMeetings/Special/2023/Special-Council-Meeting-9-18-2023.pdf,Special/2023/Special-Council-Meeting-9-18-2023.pdf,1125407,b2646d801b4c9303ce3d417533294da1acb67bc792f46fabc042430fc6f741c6
Special,2023,https://www.commercialpointohio.gov/CPMeetings/Special/2023/10-16-special.pdf,Special/2023/10-16-special.pdf,58092,0c0cd5318a6451e9cd8008b18d400d641fa9e71951df16980a96b1b473b919fb
Special,2022,https://www.commercialpointohio.gov/CPMeetings/Special/2022/January-6-2022.pdf,Special/2022/January-6-2022.pdf,68345,16cfb9890c745342efbc55a99f0d0738d0e11e08081441ce968b94938d5a5af2
